Order_ID,Date,Customer_ID,Country_Code,Channel,Sales_person,Units_Sold,Unit_Price,Product_Code,Product,Promotion_Flag,Commission_Percent
ORD0000001,2022-01-14,CUSTJ00001,JO,Online,ahmed,1,925.33,EB01,Laptop,0,0.03
ORD0000002,2021-12-21,CUSTJ00002,JO,offline,Sara,5,161.18,EG02,Gaming Chair,0,0.05
ORD0000003,2021-12-10,CUSTJ00002,Jordan,Offline,Ahmed,3,4.94,E05,Cable,0,0.05
ORD0000004,2022-02-21,CUSTJ00002,Jordn,Website,Ahmed,3,51.21,EG03,Headset,0,0.02
ORD0000005,2021-01-14,CUSTJ00002,Jordn,Website,rami,2,238.59,P02,Tablet,0,0.05
ORD0000006,2025-05-19,CUSTJ00002,Jordn,Website,Ahmed,3,48.64,EG03,Headset,0,0.02
ORD0000007,2022-09-18,CUSTJ00002,Jordan,in-store,Ahmed,4,5.79,E05,Cable,0,0.03
ORD0000008,2021-05-29,CUSTJ00002,Jordan,Online,ahmed,4,6.25,E05,Cable,0,0.03
ORD0000009,2021-08-05,CUSTJ00002,JO,offline,Sara,2,5.72,E05,Cable,0,0.02
ORD0000010,2021-03-11,CUSTJ00002,JO,in-store,Rami,3,157.18,EG02,Gaming Chair,0,0.05
ORD0000011,2021-07-10,CUSTJ00003,Jor,Online,ahmed,2,1029.5,EB01,Laptop,0,0.05
ORD0000012,2024-04-25,CUSTJ00004,JO,Online,ahmed,4,419.42,P01,Phone,0,0.03
ORD0000013,2022-08-21,CUSTJ00004,JO,in-store,ahmed,3,148.36,EG02,Gaming Chair,0,0.03
ORD0000014,2021-01-23,CUSTJ00004,Jordan,Online,ahmed,4,88.64,F02,Chair,0,0.03
ORD0000015,2025-05-22,CUSTJ00004,JO,Online,rami,5,32.01,E04,Keyboard,0,0.02
ORD0000016,2025-01-31,CUSTJ00004,JO,Offline,Ahmed,1,76.49,F02,Chair,0,0.05
ORD0000017,2022-12-01,CUSTJ00004,Jordn,offline,Ahmed,3,400.49,P01,Phone,0,0.03
ORD0000018,2021-08-21,CUSTJ00004,Jor,Website,ali,1,23.69,A01,Accessory,0,0.05
ORD0000019,2022-04-07,CUSTJ00004,Jordan,Online,Rami,5,249.77,P02,Tablet,0,0.02
ORD0000020,2022-08-08,CUSTJ00004,Jordan,Online,ahmed,1,17.09,E02,Mouse,0,0.03
ORD0000021,2022-05-09,CUSTJ00005,Jor,in-store,ali,4,439.1,P01,Phone,0,0.05
ORD0000022,2022-11-01,CUSTJ00006,JO,Online,Sara,3,412.91,P01,Phone,0,0.03
ORD0000023,2021-04-26,CUSTJ00006,Jordan,offline,ahmed,2,181.69,M01,Monitor,0,0.03
ORD0000024,2023-08-12,CUSTJ00006,Jordan,offline,ahmed,5,49.66,EG03,Headset,0,0.02
ORD0000025,2025-01-15,CUSTJ00006,Jordan,in-store,Rami,1,34.97,E04,Keyboard,0,0.03
ORD0000026,2023-05-02,CUSTJ00006,Jordn,Website,ali,3,15.17,E02,Mouse,0,0.03
ORD0000026,2023-05-02,CUSTJ00006,JO,Website,ali,3,31.62,E04,Keyboard,0,0.02
ORD0000027,2023-11-14,CUSTJ00006,Jordn,offline,ali,1,5.77,E05,Cable,0,0.03
ORD0000028,2023-12-29,CUSTJ00006,JO,Website,ahmed,5,244.7,P02,Tablet,0,0.02
ORD0000029,2021-03-05,CUSTJ00007,Jordan,Website,Ahmed,1,29.9,E04,Keyboard,0,0.05
ORD0000030,2025-01-25,CUSTJ00007,Jordn,Website,ahmed,1,31.81,E04,Keyboard,0,0.05
ORD0000031,2022-10-11,CUSTJ00007,Jordn,Offline,Ahmed,5,142.86,EG02,Gaming Chair,0,0.02
ORD0000032,2023-10-08,CUSTJ00007,Jor,Offline,ali,2,31.61,E04,Keyboard,0,0.05
ORD0000033,2024-06-12,CUSTJ00007,Jor,Website,Sara,3,794.93,EB01,Laptop,0,0.05
ORD0000034,2023-05-28,CUSTJ00007,Jordn,Website,ali,5,409.75,P01,Phone,0,0.05
ORD0000035,2021-07-03,CUSTJ00007,Jordan,Online,Rami,4,174.49,M01,Monitor,0,0.05
ORD0000036,2024-09-04,CUSTJ00007,Jordan,offline,Ahmed,2,33.59,E04,Keyboard,0,0.03
ORD0000037,2022-09-18,CUSTJ00007,Jor,Online,Rami,2,50.8,EG03,Headset,0,0.02
ORD0000038,2021-06-13,CUSTJ00007,Jordn,offline,ahmed,4,5.9,E05,Cable,0,0.05
ORD0000039,2021-01-19,CUSTJ00007,Jordan,Website,Sara,2,155.86,EG02,Gaming Chair,0,0.02
ORD0000040,2021-09-19,CUSTJ00007,Jordn,Online,Ahmed,5,174.95,M01,Monitor,0,0.05
ORD0000041,2021-10-08,CUSTJ00007,Jordn,Online,rami,5,234.01,P02,Tablet,0,0.03
ORD0000042,2021-10-26,CUSTJ00007,Jor,offline,Sara,5,156.32,EG02,Gaming Chair,0,0.02
ORD0000043,2023-06-25,CUSTJ00007,JO,Website,ahmed,6,22.22,A01,Accessory,0,0.03
ORD0000044,2025-04-05,CUSTJ00007,JO,Website,Sara,1,253.88,P02,Tablet,0,0.03
ORD0000045,2022-10-29,CUSTJ00007,Jordn,Offline,Sara,4,257.88,P02,Tablet,0,0.05
ORD0000046,2021-12-11,CUSTJ00007,Jordn,Online,Sara,3,45.94,EG03,Headset,0,0.02
ORD0000047,2021-07-10,CUSTJ00007,Jordn,Offline,ahmed,2,31.26,E04,Keyboard,0,0.05
ORD0000048,2021-02-10,CUSTJ00007,JO,Online,ahmed,2,861.02,EB01,Laptop,0,0.03
ORD0000049,2025-02-13,CUSTJ00007,Jordan,Website,rami,5,31.24,E04,Keyboard,0,0.05
ORD0000050,2024-08-08,CUSTJ00007,Jor,Online,ahmed,1,408.32,P01,Phone,0,0.02
ORD0000051,2024-06-26,CUSTJ00007,Jor,Offline,Rami,3,47.81,EG03,Headset,0,0.03
ORD0000052,2022-08-01,CUSTJ00007,Jor,in-store,Rami,3,81.08,F02,Chair,0,0.03
ORD0000053,2021-05-02,CUSTJ00007,Jordn,Website,Ahmed,5,17.94,E02,Mouse,0,0.03
ORD0000054,2025-06-28,CUSTJ00007,Jordn,offline,ahmed,2,5.1,E05,Cable,0,0.02
ORD0000055,2022-03-18,CUSTJ00007,JO,Website,rami,4,85.46,F02,Chair,0,0.03
ORD0000056,2024-07-29,CUSTJ00007,Jor,Online,rami,1,860.83,EB01,Laptop,0,0.05
ORD0000056,2024-07-29,CUSTJ00007,Jor,Online,rami,4,89.97,F02,Chair,0,0.05
ORD0000057,2022-10-05,CUSTJ00007,JO,Online,Sara,5,438.67,P01,Phone,0,0.03
ORD0000058,2022-05-10,CUSTJ00007,JO,Website,rami,5,17.96,E02,Mouse,0,0.03
ORD0000059,2025-01-07,CUSTJ00007,Jordan,Offline,rami,3,229.54,P02,Tablet,0,0.05
ORD0000060,2024-05-30,CUSTJ00007,Jordn,Website,Ahmed,3,177.19,M01,Monitor,0,0.03
ORD0000061,2021-11-06,CUSTJ00007,Jordan,Website,ali,1,246.6,P02,Tablet,0,0.05
ORD0000062,2024-07-22,CUSTJ00007,Jordn,offline,ali,3,46.94,EG03,Headset,0,0.05
ORD0000063,2022-04-18,CUSTJ00007,JO,Website,Ahmed,4,263.99,P02,Tablet,0,0.05
ORD0000064,2021-05-03,CUSTJ00007,JO,offline,rami,4,21.34,A01,Accessory,0,0.03
ORD0000065,2024-12-14,CUSTJ00007,Jor,Online,ali,4,786.88,EB01,Laptop,0,0.02
ORD0000065,2024-12-14,CUSTJ00007,JO,Online,ali,1,85.82,F02,Chair,0,0.05
ORD0000066,2025-04-13,CUSTJ00007,Jordan,Offline,Rami,10,5.41,E05,Cable,0,0.02
ORD0000067,2024-01-22,CUSTJ00008,JO,Online,rami,4,22.23,A01,Accessory,0,0.05
ORD0000068,2021-01-11,CUSTJ00009,Jordn,in-store,ahmed,1,50.08,EG03,Headset,0,0.05
