Order_ID,Date,Customer_ID,Country_Code,Channel,Sales_person,Units_Sold,Unit_Price,Product_Code,Product,Promotion_Flag,Commission_Percent
ORD0004248,2021-04-05,CUSTL00019,LEBANON,Website,sami,2,597.43,P01,Phone,0,0.02
ORD0004249,2021-07-17,CUSTL00019,LEB,Online,sami,1,123.15,F02,Chair,0,0.05
ORD0004250,2024-09-18,CUSTL00019,LEB,Website,lina,2,31.02,A01,Accessory,0,0.02
ORD0004251,2024-04-07,CUSTL00019,LEBANON,Offline,Sami,4,7.95797102856919,E05,Cable,0,0.02
ORD0004252,2022-02-13,CUSTL00019,LEB,offline,lina,2,31.0,A01,Accessory,0,0.03
ORD0004253,2021-09-26,CUSTL00019,LEBN,Offline,lina,1,70.34,EG03,Headset,0,0.02
ORD0004254,2025-07-05,CUSTL00019,LEBN,in-store,lina,3,214.87,EG02,Gaming Chair,0,0.02
ORD0004255,2021-09-12,CUSTL00019,LEBANON,Website,Lina,2,580.68,P01,Phone,0,0.03
ORD0004256,2024-03-03,CUSTL00019,LEBANON,Website,lina,1,45.33,E04,Keyboard,0,0.05
ORD0004257,2024-05-11,CUSTL00019,LEBANON,Online,Lina,1,112.07,F02,Chair,0,0.05
ORD0004258,2021-10-12,CUSTL00019,LEBN,in-store,sami,4,259.28,M01,Monitor,0,0.03
ORD0004259,2025-03-13,CUSTL00019,LEB,Offline,sami,4,42.64,E04,Keyboard,0,0.03
ORD0004260,2021-08-12,CUSTL00019,LEB,Online,Lina,3,591.13,P01,Phone,0,0.05
ORD0004261,2022-06-28,CUSTL00019,LEB,Online,Ali,3,117.22,F02,Chair,0,0.03
ORD0004262,2021-10-27,CUSTL00019,LEBN,Online,sami,1,43.57,E04,Keyboard,0,0.05
ORD0004263,2023-04-26,CUSTL00019,LEBANON,Website,sami,4,8.414295095073154,E05,Cable,0,0.03
ORD0004264,2022-01-12,CUSTL00019,LEBN,Online,Ali,5,229.91,EG02,Gaming Chair,0,0.02
ORD0004265,2022-09-13,CUSTL00019,LEB,Website,Sami,0,1158.889784195031,EB01,Laptop,0,0.02
ORD0004265,2022-09-13,CUSTL00019,LEB,Website,Sami,1,118.48,F02,Chair,0,0.02
ORD0004266,2021-05-18,CUSTL00019,LEBN,Offline,Lina,0,1076.1824783201432,EB01,Laptop,0,0.03
ORD0004267,2023-01-05,CUSTL00019,LEBANON,Website,Ali,3,29.99,A01,Accessory,0,0.03
ORD0004268,2024-06-24,CUSTL00019,LEBN,Online,Sami,1,1181.848118120822,EB01,Laptop,0,0.05
ORD0004269,2022-08-23,CUSTL00019,LEBANON,Website,Lina,2,9.585888677886219,E05,Cable,0,0.03
ORD0004270,2024-07-07,CUSTL00019,LEBN,Website,Lina,4,9.336584183104774,E05,Cable,0,0.03
ORD0004271,2024-08-08,CUSTL00019,LEBANON,in-store,Lina,4,202.72,EG02,Gaming Chair,0,0.03
ORD0004272,2023-08-16,CUSTL00019,LEBANON,offline,lina,5,219.16,EG02,Gaming Chair,0,0.03
ORD0004273,2024-12-16,CUSTL00019,LEBANON,Online,lina,2,125.96,F02,Chair,0,0.02
ORD0004274,2024-07-23,CUSTL00019,LEBN,Website,Sami,1,129.99,F02,Chair,0,0.05
ORD0004275,2021-07-22,CUSTL00019,LEBANON,Online,Sami,5,248.96,M01,Monitor,0,0.05
ORD0004276,2021-11-06,CUSTL00019,LEBN,Website,Ali,4,43.1,E04,Keyboard,0,0.05
ORD0004277,2025-07-02,CUSTL00019,LEB,Online,Ali,1,71.65,EG03,Headset,0,0.05
ORD0004278,2024-01-11,CUSTL00019,LEBN,Website,Lina,4,71.7,EG03,Headset,0,0.03
ORD0004279,2024-11-18,CUSTL00019,LEBN,Website,lina,3,74.14,EG03,Headset,1,0.03
ORD0004280,2025-01-09,CUSTL00019,LEBN,Online,Lina,3,27.64,A01,Accessory,0,0.02
ORD0004281,2023-07-23,CUSTL00019,LEBN,Online,Lina,2,71.85,EG03,Headset,0,0.02
ORD0004282,2021-11-03,CUSTL00019,LEBN,Online,sami,3,130.06,F02,Chair,0,0.03
ORD0004283,2025-07-04,CUSTL00019,LEB,Online,sami,3,8.054951922154517,E05,Cable,0,0.02
ORD0004284,2024-09-03,CUSTL00019,LEB,Online,Ali,1,600.51,P01,Phone,0,0.03
ORD0004285,2021-06-21,CUSTL00019,LEB,Online,sami,4,121.98,F02,Chair,0,0.02
ORD0004286,2023-09-10,CUSTL00019,LEBANON,Online,Lina,1,64.3,EG03,Headset,0,0.02
ORD0004286,2023-09-10,CUSTL00019,LEBN,Online,Lina,4,234.69,EG02,Gaming Chair,0,0.03
ORD0004287,2022-03-24,CUSTL00019,LEBANON,Website,sami,5,208.68,EG02,Gaming Chair,0,0.03
ORD0004288,2022-09-26,CUSTL00019,LEBANON,Online,Ali,1,69.68,EG03,Headset,0,0.03
ORD0004289,2025-06-27,CUSTL00019,LEBN,Online,Sami,5,70.78,EG03,Headset,0,0.02
ORD0004290,2025-04-07,CUSTL00019,LEB,Website,Ali,1,44.57,E04,Keyboard,0,0.05
ORD0004291,2025-01-23,CUSTL00019,LEB,Website,Lina,4,31.14,A01,Accessory,0,0.05
ORD0004292,2024-01-01,CUSTL00019,LEBANON,Online,Sami,4,239.15,M01,Monitor,0,0.03
ORD0004293,2021-06-23,CUSTL00019,LEBN,Website,Lina,4,254.15,M01,Monitor,0,0.02
ORD0004294,2024-11-22,CUSTL00020,LEBANON,offline,Ali,3,25.17,E02,Mouse,0,0.02
ORD0004295,2023-11-20,CUSTL00020,LEB,Online,Ali,1,233.93,M01,Monitor,0,0.03
ORD0004296,2021-07-15,CUSTL00020,LEBN,Website,Ali,0,228.32,M01,Monitor,0,0.02
ORD0004297,2021-04-15,CUSTL00020,LEBN,Online,Lina,4,576.85,P01,Phone,0,0.03
ORD0004298,2025-05-30,CUSTL00020,LEB,Online,Ali,3,1173.9326400906048,EB01,Laptop,0,0.02
ORD0004299,2023-10-16,CUSTL00020,LEB,Website,Lina,4,71.36,EG03,Headset,0,0.05
ORD0004300,2021-05-08,CUSTL00020,LEBANON,Website,Sami,3,336.06,P02,Tablet,0,0.05
ORD0004301,2025-01-06,CUSTL00020,LEBANON,Online,Lina,4,629.2,P01,Phone,0,0.05
ORD0004302,2022-12-05,CUSTL00020,LEBANON,Online,Ali,4,235.45,EG02,Gaming Chair,0,0.02
ORD0004303,2021-10-02,CUSTL00021,LEB,Website,Lina,9,8.517850610190068,E05,Cable,0,0.03
ORD0004304,2024-07-30,CUSTL00022,LEBANON,Website,Lina,2,614.44,P01,Phone,0,0.05
ORD0004305,2021-05-19,CUSTL00022,LEBN,Online,Sami,3,323.37,P02,Tablet,0,0.05
ORD0004306,2021-01-26,CUSTL00022,LEB,Website,Lina,3,220.33,EG02,Gaming Chair,0,0.02
ORD0004307,2024-01-29,CUSTL00022,LEBANON,Online,Ali,2,258.29,M01,Monitor,0,0.03
ORD0004308,2024-12-25,CUSTL00023,LEBANON,Online,Ali,2,1108.1232003743485,EB01,Laptop,0,0.02
ORD0004309,2024-08-29,CUSTL00023,LEB,Website,sami,1,68.38,EG03,Headset,0,0.05
ORD0004310,2024-09-19,CUSTL00023,LEBANON,Online,Ali,1,319.97,P02,Tablet,0,0.02
ORD0004311,2024-09-15,CUSTL00024,LEBN,Online,sami,4,25.63,E02,Mouse,0,0.02
ORD0004312,2024-08-21,CUSTL00025,LEB,Online,Sami,1,255.37,M01,Monitor,0,0.03
ORD0004313,2023-08-09,CUSTL00025,LEB,Online,Lina,1,215.27,EG02,Gaming Chair,0,0.03
ORD0004314,2022-05-28,CUSTL00025,LEBN,Website,Lina,2,1030.0926019840483,EB01,Laptop,0,0.02
ORD0004314,2022-05-28,CUSTL00025,LEBN,Website,Lina,1,116.38,F02,Chair,0,0.02
ORD0004315,2022-01-18,CUSTL00025,LEB,Website,sami,2,29.14,A01,Accessory,0,0.03
ORD0004316,2024-02-18,CUSTL00025,LEBN,in-store,sami,3,226.38,EG02,Gaming Chair,0,0.02
ORD0004317,2024-07-14,CUSTL00025,LEBANON,Website,Sami,1,69.42,EG03,Headset,0,0.02
ORD0004318,2023-07-30,CUSTL00025,LEBN,Online,sami,3,345.62,P02,Tablet,0,0.03
ORD0004319,2024-11-19,CUSTL00025,LEB,Website,sami,2,8.093803544116211,E05,Cable,0,0.05
ORD0004320,2024-04-14,CUSTL00025,LEBANON,in-store,Sami,0,250.32,M01,Monitor,0,0.03
ORD0004321,2021-12-24,CUSTL00025,LEBN,Online,Sami,1,39.92,E04,Keyboard,0,0.02
ORD0004322,2021-10-21,CUSTL00025,LEBANON,Online,Sami,1,30.96,A01,Accessory,0,0.03
ORD0004323,2023-08-28,CUSTL00025,LEBN,Online,sami,3,350.57,P02,Tablet,0,0.05
ORD0004324,2023-03-28,CUSTL00025,LEB,Online,Ali,3,8.393874693225603,E05,Cable,0,0.03
ORD0004325,2023-08-20,CUSTL00025,LEBN,Website,lina,0,212.05,EG02,Gaming Chair,0,0.02
ORD0004326,2021-06-24,CUSTL00025,LEB,Online,Sami,1,123.96,F02,Chair,0,0.03
ORD0004327,2023-07-19,CUSTL00025,LEBN,Website,lina,5,7.65817984701883,E05,Cable,0,0.05
ORD0004328,2023-12-20,CUSTL00025,LEBANON,Website,sami,1,221.34,EG02,Gaming Chair,0,0.02
ORD0004329,2023-04-23,CUSTL00025,LEBN,Online,lina,1,70.51,EG03,Headset,0,0.02
ORD0004330,2023-03-22,CUSTL00025,LEBN,Online,sami,1,1200.7642511557087,EB01,Laptop,0,0.03
ORD0004331,2022-09-14,CUSTL00025,LEBN,Online,Lina,3,392.14,P02,Tablet,0,0.02
ORD0004332,2022-09-02,CUSTL00025,LEBANON,Website,lina,3,1362.5098934247717,EB01,Laptop,0,0.03
ORD0004332,2022-09-02,CUSTL00025,LEBANON,Website,lina,4,124.44,F02,Chair,0,0.05
ORD0004333,2025-04-15,CUSTL00025,LEBN,Online,Ali,2,1248.9034251389785,EB01,Laptop,0,0.03
ORD0004333,2025-04-15,CUSTL00025,LEBANON,Online,Ali,1,122.0,F02,Chair,0,0.03
ORD0004334,2022-06-10,CUSTL00025,LEBN,Website,Lina,2,1311.9905929232186,EB01,Laptop,0,0.05
ORD0004335,2024-11-11,CUSTL00025,LEBN,Online,lina,3,7.827778158017659,E05,Cable,0,0.03
ORD0004336,2025-03-08,CUSTL00025,LEB,Online,Sami,2,26.26,E02,Mouse,0,0.02
ORD0004336,2025-03-08,CUSTL00025,LEBANON,Online,Sami,1,47.86,E04,Keyboard,0,0.02
ORD0004337,2022-06-19,CUSTL00025,LEB,Online,Ali,1,25.38,E02,Mouse,0,0.02
ORD0004337,2022-06-19,CUSTL00025,LEB,Online,Ali,3,43.82,E04,Keyboard,0,0.05
